server_id,sequence_id,n_rows,32,64,128
a,0,2500,12.5,17.0,37.5
a,0,5000,20.7,38.0,74.7
a,0,7500,32.8,54.7,141.0
a,0,10000,43.1,74.4,221.2
a,1,2500,12.5,17.4,38.9
a,1,5000,20.8,34.9,76.3
a,1,7500,30.5,54.1,142.0
a,1,10000,39.5,74.0,224.5
a,2,2500,19.0,23.9,36.0
a,2,5000,24.9,36.3,131.9
a,2,7500,32.4,47.4,215.5
a,2,10000,37.0,132.7,248.8
a,3,2500,3.6,3.7,3.6
a,3,5000,3.4,3.6,3.7
a,3,7500,3.6,3.6,3.6
a,3,10000,3.6,3.7,3.9
b,0,2500,8.6,13.5,25.0
b,0,5000,12.6,23.7,44.1
b,0,7500,18.9,32.6,67.8
b,0,10000,22.2,41.3,91.8
b,1,2500,8.4,13.2,25.3
b,1,5000,12.6,22.5,43.8
b,1,7500,17.5,32.2,67.0
b,1,10000,22.3,41.8,91.4
b,2,2500,17.1,21.8,33.8
b,2,5000,21.4,31.6,52.8
b,2,7500,26.3,39.7,76.0
b,2,10000,31.7,48.6,100.2
b,3,2500,3.5,3.6,3.7
b,3,5000,3.5,3.8,3.8
b,3,7500,3.5,3.5,3.4
b,3,10000,3.5,3.6,3.5
